match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20200916-M-Rome_Masters-R32-Stefanos_Tsitsipas-Jannik_Sinner,stefanos_tsitsipas,jannik_sinner,r,r,m,20200916,rome_masters,r32,,,clay,Nacho Forcadell,3,1,Edged,2020,6,6,6
20200913-M-US_Open-F-Dominic_Thiem-Alexander_Zverev,dominic_thiem,alexander_zverev,r,r,m,20200913,us_open,f,16:20,Arthur Ashe Stadium,hard,Louise Azemar Engzell,5,1,Carrie,2020,6,6,6
20200911-M-US_Open-SF-Dominic_Thiem-Daniil_Medvedev,dominic_thiem,daniil_medvedev,r,r,m,20200911,us_open,sf,20:05,Arthur Ashe Stadium,hard,Damien Dumusois,5,1,Carrie,2020,6,6,6
20200909-M-US_Open-QF-Andrey_Rublev-Daniil_Medvedev,andrey_rublev,daniil_medvedev,r,r,m,20200909,us_open,qf,,,hard,,5,1,Edged,2020,6,6,6
20200908-M-US_Open-QF-Denis_Shapovalov-Pablo_Carreno_Busta,denis_shapovalov,pablo_carreno_busta,l,r,m,20200908,us_open,qf,,,hard,,5,1,Edged,2020,6,6,6
20200908-M-US_Open-QF-Borna_Coric-Alexander_Zverev,borna_coric,alexander_zverev,r,r,m,20200908,us_open,qf,,,hard,,5,1,Edged,2020,6,6,6
20200907-M-US_Open-R16-Vasek_Pospisil-Alex_De_Minaur,vasek_pospisil,alex_de_minaur,r,r,m,20200907,us_open,r16,,,hard,,5,1,Edged,2020,6,6,6
20200907-M-US_Open-R16-Frances_Tiafoe-Daniil_Medvedev,frances_tiafoe,daniil_medvedev,r,r,m,20200907,us_open,r16,19:15,Arthur Ashe Stadium,hard,Marijana Veljovic,5,1,Carrie,2020,6,6,6
20200907-M-US_Open-R16-Felix_Auger_Aliassime__-Dominic_Thiem,felix_auger_aliassime,dominic_thiem,r,r,m,20200907,us_open,r16,15:05,Arthur Ashe Stadium,hard,James Keothavong,5,1,Carrie,2020,6,6,6
20200907-M-US_Open-R16-Andrey_Rublev-Matteo_Berrettini,andrey_rublev,matteo_berrettini,r,r,m,20200907,us_open,r16,,,hard,,5,1,Edged,2020,6,6,6
20200906-M-US_Open-R32-Marin_Cilic-Dominic_Thiem,marin_cilic,dominic_thiem,r,r,m,20200906,us_open,r32,,Arthur Ashe,hard,,5,1,Ludo,2020,6,6,6
20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,novak_djokovic,jan_lennard_struff,r,r,m,20200905,us_open,r32,19:15:00,Ashe,hard,Jaume Campistol,5,1,Ludo,2020,6,6,6
20200905-M-US_Open-R32-Felix_Auger_Aliassime-Corentin_Moutet,felix_auger_aliassime,corentin_moutet,r,l,m,20200905,us_open,r32,,,hard,Nico Helwerth,5,1,Edged,2020,6,6,6
